Abrangência;Localidade;Localidade;Casos Confirmados - Acumulado;Casos Confirmados - Novos;Casos Confirmados - Incremento;Casos Confirmados - Incidência*;Casos Confirmados - Em acompanhamento;Casos Confirmados - Recuperados;Óbitos Confirmados - Acumulado;Óbitos Confirmados - Novos;Óbitos Confirmados - Incremento;Óbitos Confirmados - Mortalidade*;Óbitos Confirmados - Letalidade
País;76;Brasil;18386894;64.134;0.35;8749.53;1.292.106;16.582.053;512.735;1.593;0.31;243.99;2.79
Região;1;Norte;1706208;2.774;0.16;9257.28;0;0;43.223;52;0.12;234.51;2.53
Unidade da Federação;11;RO;246612;266;0.11;13876.24;0;0;6.112;7;0.11;343.91;2.48
Município;110001;Alta Floresta D'Oeste;3884;5;0.13;16927.44;0;0;65;1;1.56;283.29;1.67
Município;110037;Alto Alegre dos Parecis;1444;1;0.07;10905.52;0;0;44;0;0;332.3;3.05
Município;110040;Alto Paraíso;1803;3;0.17;8414.22;0;0;48;0;0;224.01;2.66
Município;110034;Alvorada D'Oeste;1093;0;0;7584.48;0;0;29;0;0;201.24;2.65
Município;110002;Ariquemes;21502;27;0.13;19934.55;0;0;461;-1;-0.22;427.39;2.14
Município;110045;Buritis;4654;8;0.17;11736.52;0;0;74;0;0;186.61;1.59
Município;110003;Cabixi;816;2;0.25;15361.45;0;0;20;0;0;376.51;2.45
Município;110060;Cacaulândia;814;1;0.12;13065.81;0;0;10;0;0;160.51;1.23
Município;110004;Cacoal;13452;10;0.07;15759.32;0;0;277;1;0.36;324.51;2.06
Município;110070;Campo Novo de Rondônia;1161;0;0;8211.33;0;0;22;0;0;155.6;1.89
Município;110080;Candeias do Jamari;3811;27;0.71;14277.15;0;0;76;0;0;284.72;1.99
Município;110090;Castanheiras;262;0;0;8584.53;0;0;6;0;0;196.59;2.29
Município;110005;Cerejeiras;2417;10;0.42;14807.33;0;0;60;0;0;367.58;2.48
Município;110092;Chupinguaia;1378;0;0;12323.38;0;0;19;0;0;169.92;1.38
Município;110006;Colorado do Oeste;2171;0;0;13669.56;0;0;38;0;0;239.26;1.75
Município;110007;Corumbiara;771;1;0.13;10431.61;0;0;18;0;0;243.54;2.33
Município;110008;Costa Marques;1648;5;0.3;8990.24;0;0;31;0;0;169.11;1.88
Município;110094;Cujubim;1887;0;0;7483.64;0;0;38;0;0;150.7;2.01
Município;110009;Espigão D'Oeste;3235;7;0.22;9992.59;0;0;60;0;0;185.33;1.85
Município;110100;Governador Jorge Teixeira;608;0;0;7827.99;0;0;21;0;0;270.37;3.45
Município;110010;Guajará-Mirim;5374;6;0.11;11638.58;0;0;223;4;1.83;482.96;4.15
Município;110110;Itapuã do Oeste;1365;1;0.07;13052.21;0;0;18;0;0;172.12;1.32
Município;110011;Jaru;7353;6;0.08;14201.83;0;0;162;0;0;312.89;2.2
Município;110012;Ji-Paraná;18082;0;0;14020.42;0;0;538;0;0;417.15;2.98
Município;110013;Machadinho D'Oeste;6534;10;0.15;16338.68;0;0;105;0;0;262.56;1.61
Município;110120;Ministro Andreazza;498;0;0;5155.28;0;0;14;0;0;144.93;2.81
Município;110130;Mirante da Serra;1005;1;0.1;9180.6;0;0;12;0;0;109.62;1.19
Município;110140;Monte Negro;1687;0;0;10642.19;0;0;30;0;0;189.25;1.78
Município;110014;Nova Brasilândia D'Oeste;1841;10;0.55;8991.89;0;0;27;0;0;131.87;1.47
Município;110033;Nova Mamoré;3458;0;0;11306.94;0;0;76;0;0;248.5;2.2
Município;110143;Nova União;829;0;0;11893.83;0;0;15;0;0;215.21;1.81
Município;110050;Novo Horizonte do Oeste;624;4;0.65;7308.5;0;0;22;0;0;257.67;3.53
Município;110015;Ouro Preto do Oeste;4482;0;0;12437.91;0;0;134;0;0;371.86;2.99
Município;110145;Parecis;386;0;0;6354.96;0;0;11;0;0;181.1;2.85
Município;110018;Pimenta Bueno;6086;20;0.33;16601.2;0;0;104;0;0;283.69;1.71
Município;110146;Pimenteiras do Oeste;428;0;0;19732.6;0;0;15;0;0;691.56;3.5
Município;110020;Porto Velho;82565;55;0.07;15591.72;0;0;2.430;1;0.04;458.89;2.94
Município;110025;Presidente Médici;3413;7;0.21;17976.4;0;0;79;0;0;416.1;2.31
Município;110147;Primavera de Rondônia;173;0;0;6057.42;0;0;7;0;0;245.1;4.05
Município;110026;Rio Crespo;581;0;0;15435.71;0;0;12;0;0;318.81;2.07
Município;110028;Rolim de Moura;6329;0;0;11495.15;0;0;162;0;0;294.24;2.56
Município;110029;Santa Luzia D'Oeste;924;2;0.22;14226.33;0;0;17;1;6.25;261.74;1.84
Município;110148;São Felipe D'Oeste;481;5;1.05;9300.08;0;0;9;0;0;174.01;1.87
Município;110149;São Francisco do Guaporé;2154;0;0;10628.64;0;0;44;0;0;217.11;2.04
Município;110032;São Miguel do Guaporé;2321;0;0;10089.11;0;0;47;0;0;204.3;2.02
Município;110150;Seringueiras;1353;1;0.07;11411.94;0;0;18;0;0;151.82;1.33
Município;110155;Teixeirópolis;521;0;0;12093.78;0;0;8;0;0;185.7;1.54
Município;110160;Theobroma;775;0;0;7420.53;0;0;25;0;0;239.37;3.23
Município;110170;Urupá;1193;3;0.25;10403.77;0;0;32;0;0;279.06;2.68
Município;110175;Vale do Anari;1145;0;0;10219.56;0;0;21;0;0;187.43;1.83
Município;110180;Vale do Paraíso;766;0;0;11223.44;0;0;25;0;0;366.3;3.26
Município;110030;Vilhena;13075;28;0.21;13094.12;0;0;253;0;0;253.37;1.93
Unidade da Federação;12;AC;85383;110;0.13;9681.33;0;0;1.736;0;0;196.84;2.03
Município;120001;Acrelândia;1651;2;0.12;10821.97;0;0;36;0;0;235.97;2.18
Município;120005;Assis Brasil;1760;12;0.69;23729.27;0;0;24;0;0;323.58;1.36
Município;120010;Brasiléia;2888;3;0.1;10990.18;0;0;38;0;0;144.61;1.32
Município;120013;Bujari;1136;0;0;11065.65;0;0;17;0;0;165.6;1.5
Município;120017;Capixaba;654;0;0;5574.02;0;0;17;0;0;144.89;2.6
Município;120020;Cruzeiro do Sul;7630;18;0.24;8633.57;0;0;155;0;0;175.39;2.03
Município;120025;Epitaciolândia;1463;1;0.07;7946.34;0;0;32;0;0;173.81;2.19
Município;120030;Feijó;3199;-1;-0.03;9197.81;0;0;59;0;0;169.64;1.84
Município;120032;Jordão;708;0;0;8512.68;0;0;2;0;0;24.05;0.28
Município;120033;Mâncio Lima;2621;27;1.04;13811.46;0;0;29;0;0;152.82;1.11
Município;120034;Manoel Urbano;903;1;0.11;9546.46;0;0;14;0;0;148.01;1.55
Município;120035;Marechal Thaumaturgo;1259;4;0.32;6673.03;0;0;11;0;0;58.3;0.87
Município;120038;Plácido de Castro;1740;2;0.12;8805.22;0;0;18;0;0;91.09;1.03
Município;120080;Porto Acre;1513;3;0.2;8176.61;0;0;36;0;0;194.55;2.38
Município;120039;Porto Walter;543;0;0;4531.8;0;0;4;0;0;33.38;0.74
Município;120040;Rio Branco;37529;21;0.06;9213.66;0;0;1.055;0;0;259.01;2.81
Município;120042;Rodrigues Alves;845;2;0.24;4463.81;0;0;12;0;0;63.39;1.42
Município;120043;Santa Rosa do Purus;978;4;0.41;14954.13;0;0;7;0;0;107.03;0.72
Município;120045;Senador Guiomard;1174;1;0.09;5099.03;0;0;42;0;0;182.42;3.58
Município;120050;Sena Madureira;5786;6;0.1;12619.96;0;0;64;0;0;139.59;1.11
Município;120060;Tarauacá;6418;2;0.03;15077.41;0;0;36;0;0;84.57;0.56
Município;120070;Xapuri;2985;2;0.07;15447.91;0;0;28;0;0;144.91;0.94
Unidade da Federação;13;AM;400533;471;0.12;9663.98;0;0;13.267;3;0.02;320.1;3.31
Município;130002;Alvarães;2858;1;0.04;17816.84;0;0;46;0;0;286.77;1.61
Município;130006;Amaturá;2354;0;0;20405.69;0;0;17;0;0;147.36;0.72
Município;130008;Anamã;1780;4;0.23;13074.78;0;0;9;0;0;66.11;0.51
Município;130010;Anori;1887;0;0;8981.44;0;0;31;0;0;147.55;1.64
